Name,Ingredients,Making,Link,Garnish,Type
Ramos Fizz,"45 ml Gin
15 ml Fresh Lime Juice
15 ml Fresh Lemon Juice
30 ml Sugar Syrup
60 ml Cream
30ml Egg white
3 Dashes Orange Flower Water
2 Drops Vanilla Extract
Soda Water","Pour all ingredients except soda water in a cocktail shaker with ice, Shake for two minutes, double strain in a glass, pour the drink back in the shaker, and hard shake without ice for one minute. Strain into a highball glass, top up with soda.
NOTE:
The drink was invented by Henry Ramos in 1888, at his bar Meyer’s Table d’Hôtel Internationale in New Orleans. The Ramos Fizz was originally shaken for 12 minutes by a crew of 30 bartenders who passed the shaker from one to another.",https://iba-world.com/ramos-fizz/,N/A,IBA Official Cocktail list: The Unforgettables
Tuxedo,"30 ml Old Tom Gin
30 ml Dry Vermouth
1/2 Bar Spoon Maraschino Luxardo
1/4 Bar Spoon of Absinthe
3 Dashes Orange Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,https://iba-world.com/tuxedo/,Garnish with cherry and lemon zest,IBA Official Cocktail list: The Unforgettables
Bellini,"100 ml Prosecco
50 ml White Peach Puree","Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass.",https://iba-world.com/bellini/,N/A,IBA Official Cocktail list: Contemporary Classics
Corpse Reviver #2,"30 ml Gin
30 ml Cointreau
30 ml Lillet Blanc
30 ml Fresh Lemon Juice
1 dash Absinthe",Pour all ingredients into shaker with ice. Shake well and strain in chilled cocktail glass.,https://iba-world.com/corpse-reviver-2/,Garnish with orange zest,IBA Official Cocktail list: Contemporary Classics
Golden Dream,"20 ml Galliano
20 ml Triple Sec
20 ml Fresh Orange Juice
10 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,https://iba-world.com/golden-dream/,N/A,IBA Official Cocktail list: Contemporary Classics
KIR,"90 ml Dry White Wine
10 ml Crème de Cassis","Pour Crème de Cassis into glass, top up with white wine.
Note:
KIR ROYAL – Use Champagne instead of white wine",https://iba-world.com/kir/,N/A,IBA Official Cocktail list: Contemporary Classics
Mint Julep,"60 ml Bourbon Whiskey
4 fresh Mint sprigs
1 tsp Powdered Sugar
2 tsp Water","In Julep Stainless Steel Cup gently muddle the mint with sugar and water. Fill the glass with cracked ice, add the Bourbon and stir well until the cup frosts.",https://iba-world.com/mint-julep/,Garnish with a mint sprig.,IBA Official Cocktail list: Contemporary Classics
Sea Breeze,"40 ml Vodka
120 ml Cranberry Juice
30 ml Grapefruit Juice",Build all ingredients in a highball glass filled with ice.,https://iba-world.com/sea-breeze/,Garnish with orange zest and cherry,IBA Official Cocktail list: Contemporary Classics
Zombie,"45 ml Jamaican dark rum
45 ml Gold Puerto Rican rum
30 ml Demerara Rum
20 ml Fresh lime juice
15 ml Falernum
15 ml Donn’s Mix*
1 tsp Grenadine syrup
1 dash Angostura bitters
6 drops Pernod",Add all ingredients into an electric blender with 170 grams of cracked ice. With pulse bottom blend for a few seconds. Serve in a tall tumbler glass.,https://iba-world.com/zombie/,Garnish with mint leaves.,IBA Official Cocktail list: Contemporary Classics
Black Russian,"50 ml Vodka
20 ml Coffee Liqueur",Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.,https://iba-world.com/black-russian/,N/A,IBA Official Cocktail list: Contemporary Classics
Cosmopolitan,"40 ml Vodka Citron
15 ml Cointreau
15 ml Fresh Lime Juice
30 ml Cranberry Juice",Add all ingredients into a cocktail shaker filled with ice. Shake well and strain into a large cocktail glass.,https://iba-world.com/cosmopolitan/,Garnish with a lemon twist.,IBA Official Cocktail list: Contemporary Classics
Grasshopper,"20 ml Crème de Cacao (White)
20 ml Crème de Menthe (Green)
20 ml Fresh Cream","Pour all ingredients into shaker filled with ice.
Shake briskly for few seconds. Strain into chilled cocktail glass.",https://iba-world.com/grasshopper/,"N/A, optional mint leaf",IBA Official Cocktail list: Contemporary Classics
Long Island Ice Tea,"15 ml Vodka
15 ml Tequila
15 ml White rum
15 ml Gin
15 ml Cointreau
30 ml Lemon juice
20 ml Simple syrup
Top with Cola","Add all ingredients into a highball glass filled with ice.
Stir gently.",https://iba-world.com/long-island-ice-tea/,Lemon Slice (Optional),IBA Official Cocktail list: Contemporary Classics
Mojito,"45 ml White Cuban Ron
20 ml  Fresh Lime Juice
6 pcs Mint Sprigs
2 tsp White Cane Sugar
Soda Water",Mix mint springs with sugar and lime juice. Add splash of soda water and fill the glass with ice. Pour the rum and top with soda water. Light stir to involve all ingredients.,https://iba-world.com/mojito/,Garnish with sprigs of mint and slice of lime.,IBA Official Cocktail list: Contemporary Classics
Sex on the Beach,"40 ml Vodka
20 ml Peach Schnapps
40 ml Fresh Orange Juice
40 ml Cranberry Juice",Build all ingredients in a highball glass filled with ice.,https://iba-world.com/sex-on-the-beach/,Garnish with a half orange slice.,IBA Official Cocktail list: Contemporary Classics
Bloody Mary,"45 ml Vodka
90 ml Tomato Juice
15 ml Fresh Lemon Juice
2 dashes Worcestershire Sauce
Tabasco, Celery Salt, Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass.
Note:
If requested served with ice, pour into highball glass.",https://iba-world.com/bloody-mary/,"Celery, Lemon Wedge (Optional)",IBA Official Cocktail list: Contemporary Classics
Cuba Libre,"50 ml White Rum
120ml Coca Cola
10 ml Fresh Lime Juice",Build all ingredients in a highball glass filled with ice.,https://iba-world.com/cuba-libre/,Garnish with lime wedge.,IBA Official Cocktail list: Contemporary Classics
Hemingway Special,"60 ml Rum
40 ml Grapefruit Juice
15 ml Maraschino Luxardo
15 ml Fresh Lime",Pour all ingredients into a shaker with ice. Shake well and strain into a large cocktail glass.,https://iba-world.com/hemingway-special/,N/A,IBA Official Cocktail list: Contemporary Classics
Mai-Tai,"30 ml Amber Jamaican Rum
30 ml Martinique Molasses Rhum*
15 ml Orange Curacao
15 ml Orgeat Syrup (Almond)
30 ml Fresh Lime Juice
7.5 ml Simple Syrup","Add all ingredients into a shaker with ice. Shake and pour into a double rocks glass or a highball glass.
* The Martinique molasses rum used by Trader Vic was not an Agricole rum but a type of “rummy” from molasses.",https://iba-world.com/mai-tai/,"Garnish with pineapple spear, mint leaves, and lime peel.",IBA Official Cocktail list: Contemporary Classics
Moscow Mule,"45 ml Smirnoff Vodka
120 ml Ginger Beer
10 ml Fresh lime juice","In a Mule Cup or rocks glass, combine the vodka and ginger beer. Add lime juice and gently stir to involve all ingredients.",https://iba-world.com/moscow-mule/,Garnish with a lime slice,IBA Official Cocktail list: Contemporary Classics
Singapore Sling,"30 ml Gin
15 ml Cherry liqueur
7.5 ml Cointreau
7.5 ml DOM Bénédictine
120 ml Fresh Pineapple Juice
15 ml Fresh Lime Juice
10 ml Grenadine Syrup
A dash of Angostura bitters",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake well. Strain into Hurricane glass.,https://iba-world.com/singapore-sling/,Garnish with pineapple and maraschino cherry,IBA Official Cocktail list: Contemporary Classics
Caipirinha,"60 ml Cachaça
1 Lime cut into small wedges
4 Teaspoons White Cane Sugar","Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients.
Note:
CAIPIROSKA – Instead of Cachaça use Vodka;",https://iba-world.com/caipirinha/,N/A,IBA Official Cocktail list: Contemporary Classics
French 75,"30 ml Gin
15 ml Fresh Lemon Juice
15 ml Sugar Syrup
60 ml Champagne","Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",https://iba-world.com/french-75/,N/A,IBA Official Cocktail list: Contemporary Classics
Horse’s Neck,"40 ml Cognac
120 ml Ginger Ale
Dash of Angostura Bitters (optional)","Pour Cognac and ginger ale directly into a highball glass with ice cubes. Stir gently.
If preferred, add dashes of Angostura Bitter.",https://iba-world.com/horses-neck/,Garnish with a rind of one lemon spiral.,IBA Official Cocktail list: Contemporary Classics
Margarita,"50 ml Tequila 100% Agave
20 ml Triple Sec
15 ml Freshly Squeezed Lime Juice","Add all ingredients into a shaker with ice.
Shake and strain into a chilled cocktail glass",https://iba-world.com/margarita/,Half salt rim (Optional),IBA Official Cocktail list: Contemporary Classics
Pina Colada,"50 ml White Rum
30 ml Coconut Cream
50 ml Fresh Pineapple Juice","Blend all the ingredients with ice in an electric blender, pour into a large glass, and serve with straws.",https://iba-world.com/pina-colada/,Garnish with a slice of pineapple with a cocktail cherry.,IBA Official Cocktail list: Contemporary Classics
Tequila Sunrise,"INGREDIENTS
45ml Tequila
90 ml Fresh Orange Juice
15 ml Grenadine Syrup","METHOD
Pour tequila and orange juice directly into highball glass filled with ice cubes. Add the grenadine syrup to create chromatic effect (sunrise), do not stir.",https://iba-world.com/tequila-sunrise/,"GARNISH
Garnish with half orange slice or an orange zest",IBA Official Cocktail list: Contemporary Classics
Champagne Cocktail,"90 ml Chilled Champagne
10 ml Cognac
2 dashes Angostura bitters
Few drops of Grand Marnier (optional)
1 sugar cube","Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.",https://iba-world.com/champagne-cocktail/,Garnish with orange zest and maraschino cherry.,IBA Official Cocktail list: Contemporary Classics
French Connection,"35 ml Cognac
35 ml Amaretto",Pour all ingredients directly into an old fashioned glass filled with ice cubes. Stir gently.,https://iba-world.com/french-connection/,N/A,IBA Official Cocktail list: Contemporary Classics
Irish Coffee,"50 ml Irish Whiskey
120 ml Hot coffee
50 ml Fresh cream (Chilled)
1 teaspoon Sugar","Warm black coffee is poured into a pre-heated Irish coffee glass. Whiskey and at least one teaspoon of sugar is added and stirred until dissolved. Fresh thick chilled cream is carefully poured over the back of a spoon held just above the surface of the coffee. The layer of cream will float on the coffee without mixing.
Plain sugar can be replaced with sugar syrup",https://iba-world.com/irish-coffee/,N/A,IBA Official Cocktail list: Contemporary Classics
Mimosa,"75 ml Fresh orange juice
75 ml Prosecco","Pour orange juice into a flute glass and gently pour the sparkling wine. Stir gently.
Note:
Also known as Buck’s Fizz.",https://iba-world.com/mimosa/,Garnish with an orange twist (optional).,IBA Official Cocktail list: Contemporary Classics
Pisco Sour,"60 ml Pisco
30 ml Fresh Lemon Juice
20 ml Simple Syrup
1 Raw Egg White","Add all ingredients into a shaker with ice.
Shake and strain into a chilled goblet glass.",https://iba-world.com/pisco-sour/,Few dashes of Amargo bitters on top as an aromatic garnish.,IBA Official Cocktail list: Contemporary Classics
Vesper,"45 ml Gin
15 ml Vodka
7.5 ml Lillet Blanc",Pour all ingredients into a cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,https://iba-world.com/vesper/,Lemon zest,IBA Official Cocktail list: Contemporary Classics
Trinidad Sour,"45 ml Angostura Bitters
30 ml Orgeat Syrup
22.5 ml Fresh Lemon Juice
15 ml Rye Whisky","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",https://iba-world.com/trinidad-sour/,N/A,IBA Official Cocktail list: New Era Drinks
Dark ‘n’ stormy,"60 ml Goslings Rum
100 ml Ginger Beer",In a highball glass filled with ice pour the ginger beer and top floating with the Rum.,https://iba-world.com/dark-n-stormy/,Garnish with a lime wedge or slice.,IBA Official Cocktail list: New Era Drinks
Lemon drop Martini,30 ml Vodka Citron 20 ml Triple Sec 15 ml Fresh Lemon Juice,"Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",https://iba-world.com/lemon-drop-martini/,Garnish with sugar rim around the glass.,IBA Official Cocktail list: New Era Drinks
Paper Plane,"30 ml Bourbon Whiskey
30 ml Amaro Nonino
30 ml Aperol
30 ml Fresh Lemon Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",https://iba-world.com/paper-plane/,N/A,IBA Official Cocktail list: New Era Drinks
Spritz,"90 ml Prosecco
60 ml Aperol
Splash of Soda water","Build all ingredients into a wine glass filled with ice. Stir gently.
NOTE:
There are other versions of the Spritz that use Campari, Cynar or Select instead of Aperol.",https://iba-world.com/spritz/,Garnish with a slice of orange.,IBA Official Cocktail list: New Era Drinks
Yellow Bird,"30 ml White rum
15 ml Galliano
15 ml Triple Sec
15 ml Fresh Lime Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled cocktail glass.",https://iba-world.com/yellow-bird/,N/A,IBA Official Cocktail list: New Era Drinks
Barracuda,"45 ml Gold Rum
15 ml Galliano
60 ml Fresh Pineapple Juice
1 dash Fresh Lime Juice
Top up with Prosecco","Pour all ingredients into cocktail shaker except the Prosecco, shake well with ice, strain into chilled highball glass filled with ice and top up with Prosecco.",https://iba-world.com/barracuda/,"Pineapple and Cherry, optional mint sprig for additional aroma.",IBA Official Cocktail list: New Era Drinks
Espresso Martini,"50 ml Vodka
30 ml Kahlúa
10 ml Sugar Syrup
1 strong Espresso","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",https://iba-world.com/espresso-martini/,N/A,IBA Official Cocktail list: New Era Drinks
Naked and Famous,"22.5 ml Mezcal
22.5 ml Yellow Chartreuse
22.5 ml Aperol
22.5 ml Fresh Lime Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",https://iba-world.com/naked-and-famous/,N/A,IBA Official Cocktail list: New Era Drinks
Penicillin,"60 ml Blended Scotch Whisky
7.5 ml Lagavulin 16y Whisky
22.5 ml Fresh Lemon Juice
22.5 ml Honey Syrup
2-3 quarter size Sliced Fresh Ginger","Muddle fresh ginger in a shaker and add the remaining ingredients, except for the Islay single malt whiskey. Fill the shaker with ice and shake. Double-strain into a chilled old fashioned glass with ice. Float the single malt whisky on top.",https://iba-world.com/penicillin/,Garnish with candied ginger.,IBA Official Cocktail list: New Era Drinks
Suffering Bastard,"30 ml Cognac or Brandy
30 ml Gin
15 ml Fresh Lime Juice
2 Dashes Angostura Bitters
Top up Ginger beer","Pour all ingredients into a cocktail shaker except the ginger beer, shake well with ice, Pour unstrained into a Collins glass or in the original S. Bastard mug and top up with ginger beer.",https://iba-world.com/suffering-bastard/,Garnish with mint springs and optionally an orange slice as well.,IBA Official Cocktail list: New Era Drinks
Bee’s Knees,"52.5 ml Dry Gin
2 teaspoons Honey Syrup
22.5 ml Fresh Lemon Juice
22.5 ml Fresh Orange Juice","Stir honey with lemon and orange juices until it dissolves, add gin and shake with ice. Strain into a chilled cocktail glass.",https://iba-world.com/bees-knees/,Optionally garnish with a lemon or orange zest.,IBA Official Cocktail list: New Era Drinks
Fernandito,"50 ml Fernet Branca
Fill up with Cola","Pour the Fernet Branca into a double old fashioned glass with ice, fill the glass up with Cola. Gently stir.",https://iba-world.com/fernandito/,N/A,IBA Official Cocktail list: New Era Drinks
New York Sour,"60 ml Rye Whiskey or Bourbon
22.5 ml Simple syrup
30 ml Fresh lemon juice
Few Drops of Egg White
15 ml Red wine (Shiraz or Malbech)",Pour all ingredients into the shaker. Shake vigorously with ice.  Strain into a chilled rocks glass filled with ice. Float the wine on top.,https://iba-world.com/new-york-sour/,Garnish with lemon or orange zest with cherry.,IBA Official Cocktail list: New Era Drinks
Russian Spring Punch,"25 ml Vodka
25 ml Fresh Lemon Juice
15 ml Crème de Cassis
10 ml Sugar syrup
Top up Sparkling wine","Pour all ingredients into a cocktail shaker except the sparkling wine, shake well with ice, strain into a chilled tall tumbler glass filled with ice, and top up with sparkling wine.",https://iba-world.com/russian-spring-punch/,Garnish with blackberries and optionally a lemon slice as well.,IBA Official Cocktail list: New Era Drinks
Tipperary,"50 ml Irish Whiskey
25 ml Sweet Red Vermouth
15 ml Green Chartreuse
2 Dashes Angostura Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,https://iba-world.com/tipperary/,Garnish with a slice of orange.,IBA Official Cocktail list: New Era Drinks
Bramble,"50 ml Gin
25 ml Fresh Lemon Juice
12,5 ml Sugar Syrup
15 ml Crème de Mûre","Pour all ingredients into a cocktail shaker except the Crème de Mûre, shake well with ice, strain into chilled old fashioned glass filled with crushed ice, then pour the blackberry liqueur (Crème de Mûre) over the top of the drink, in a circular motion.",https://iba-world.com/bramble/,Garnish optionally with a lemon slice and blackberries.,IBA Official Cocktail list: New Era Drinks
French Martini,"45 ml Vodka
15 ml Raspberry Liqueur
15 ml Fresh Pineapple Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",https://iba-world.com/french-martini/,Squeeze oil from lemon peel onto the drink.,IBA Official Cocktail list: New Era Drinks
Old Cuban,"6/8 pcs Mint Leaves
45 ml Aged Rum
22.5 ml Fresh Lime Juice
30 ml Simple Syrup
2 Dashes Angostura Bitters
60 ml Brut Champagne or Prosecco","Pour all ingredients into cocktail shaker except the wine, shake well with ice, strain into chilled elegant cocktail glass. Top up with the sparkling wine.",https://iba-world.com/old-cuban/,Garnish with mint springs.,IBA Official Cocktail list: New Era Drinks
Southside,"60 ml London Dry Gin
30 ml Fresh Lemon Juice
15 ml Simple Syrup
5/6 Mint Leaves
Few Drops of Egg White (Optional)","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.
Note:
If egg white is used shake vigorously.",https://iba-world.com/southside/,Garnish with mint springs.,IBA Official Cocktail list: New Era Drinks
Tommy’s Margarita,"60 ml Tequila Agave 100% Reposado
30 ml Fresh Lime Juice (Persiano)
30 ml Agave Syrup (1/2 Water + 1/2 Agave Nectar)","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled rocks glass filled with ice.",https://iba-world.com/tommys-margarita/,Garnish with a lime slice.,IBA Official Cocktail list: New Era Drinks
Canchanchara,"60 ml Cuban Aguardiente
15 ml Fresh Lime Juice
15 ml Raw Honey
50 ml Water","Mix honey with water and lime juice and spread the mixture on the bottom and sides of the glass. Add cracked ice, and then the rum. End by energetically stirring from bottom to top.",https://iba-world.com/cachanchara/,Lime wedge.,IBA Official Cocktail list: New Era Drinks
Illegal,"30 ml Espadin Mezcal
15 ml Jamaica Overproof White Rum
15 ml Falernum
1 Bar Spoon Maraschino Luxardo
22.5 ml Fresh Lime Juice
15 ml Simple Syrup
Few Drops of Egg White (Optional)","Pour all ingredients into the shaker. Shake vigorously with ice.  Strain into a chilled cocktail glass, or “on the rocks” in a traditional clay or terracotta mug.",https://iba-world.com/illegal/,N/A,IBA Official Cocktail list: New Era Drinks
Paloma,"50 ml 100% Agave Tequila
5 ml Fresh lime
A pinch of Salt
100 ml Pink Grapefruit Soda","Poor the tequila into a highball glass, squeeze the lime juice. Add ice and salt, fill up pink grapefruit soda. Stir gently.",https://iba-world.com/paloma/,Garnish with a slice of lime.,IBA Official Cocktail list: New Era Drinks
Spicy Fifty,"50 ml Vodka Vanilla
15 ml Elderflower Cordial
15 ml Fresh Lime Juice
10 ml Monin Honey Syrup
2 thin Slices Red Chili Pepper","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.",https://iba-world.com/spicy-fifty/,Garnish with a red chili pepper,IBA Official Cocktail list: New Era Drinks
VE.N.TO,"45 ml White Smooth Grappa
22.5 ml Fresh lemon Juice
15 ml Honey mix (replace water with chamomile)*
15 ml Chamomile cordial
10ml Egg White (Optional)","Pour all ingredients into the shaker. Shake vigorously with ice.  Strain into a chilled small tumbler glass filled with ice.
Notes:
*If desired water can be replaced by chamomile infusion in the honey mix.",https://iba-world.com/ve-n-to/,Garnish with lemon zest and white grapes.,IBA Official Cocktail list: New Era Drinks
